Course_Original,Course_Number,Section,Title,Quarter,Year,Day and Time,Instructor,Total Enrollment after  Phase 1,Seats Available after Phase 1,Phase 1 Price,Total Enrollment after  Phase 2,Seats Available after Phase 2,Phase 2 Price,Total Enrollment after  Phase 25,Seats Available after Phase 25,Phase 25 Price,Total Enrollment after  Phase 1 New Students,Seats Available after Phase 1 New Students,Phase 1 New Students Price,Total Enrollment after  Phase 2 New Students,Seats Available after Phase 2 New Students,Phase 2 New Students Price,Total Enrollment after  Phase 3,Seats Available after Phase 3,Phase 3 Price
34305-01,34305,01,Private Equity Transactions,Autumn,2023,"Thursday, 03:00 pm - 06:00 pm","Ritchie, Stephen",30.0,CLO,506.0,30.0,CLO,1690.0,,,,30.0,CLO,,30.0,CLO,,30.0,CLO,3333.0
34705-01,34705,01,Entrepreneurial Discovery,Autumn,2023,"Monday, 01:30 pm - 04:30 pm","Tebbe, Mark",7.0,53,0.0,10.0,50,0.0,,,,60.0,CLO,7.0,60.0,CLO,2547.0,60.0,CLO,300.0
34705-02,34705,02,Entrepreneurial Discovery,Autumn,2023,"Wednesday, 01:30 pm - 04:30 pm","Tebbe, Mark",10.0,50,0.0,9.0,51,0.0,,,,47.0,13,0.0,60.0,CLO,1435.0,60.0,CLO,2132.0
34901-50,34901,50,Asset Pricing I,Autumn,2023,"Monday,Wednesday, 8:30 am - 9:50 am","Hansen, Lars; Heaton, John",4.0,31,0.0,4.0,31,0.0,,,,6.0,29,0.0,5.0,30,,5.0,30,
34903-50,34903,50,Corporate Finance I,Autumn,2023,"Wednesday, 03:00 pm - 06:00 pm","Diamond, Douglas; He, Zhiguo",3.0,32,0.0,3.0,32,,,,,3.0,32,,3.0,32,,4.0,31,0.0
35000-01,35000,01,Investments,Autumn,2023,"Monday, 08:30 am - 11:30 am","Gormsen, Niels",19.0,46,0.0,23.0,42,0.0,,,,28.0,37,0.0,28.0,37,0.0,32.0,33,0.0
35000-02,35000,02,Investments,Autumn,2023,"Monday, 01:30 pm - 04:30 pm","Gormsen, Niels",54.0,11,0.0,53.0,12,0.0,,,,56.0,9,0.0,57.0,8,0.0,57.0,8,0.0
35000-81,35000,81,Investments,Autumn,2023,"Wednesday, 6:00 pm - 9:00 pm","Gormsen, Niels",52.0,13,0.0,54.0,11,0.0,,,,55.0,10,0.0,54.0,11,,65.0,CLO,1107.0
35001-01,35001,01,Introductory Finance,Autumn,2023,"Friday, 08:30 am - 11:30 am","Constantinides, George",19.0,46,0.0,20.0,45,0.0,,,,24.0,41,0.0,24.0,41,0.0,22.0,43,0.0
35001-85,35001,85,Introductory Finance,Autumn,2023,"Saturday, 1:30 pm - 4:30 pm","Constantinides, George",12.0,53,0.0,10.0,55,0.0,,,,12.0,53,0.0,11.0,54,,16.0,49,0.0
35126-01,35126,01,Quantitative Portfolio Management,Autumn,2023,"Wednesday, 08:30 am - 11:30 am","Koijen, Ralph",23.0,42,0.0,26.0,39,0.0,,,,29.0,36,0.0,29.0,36,0.0,32.0,33,0.0
35126-81,35126,81,Quantitative Portfolio Management,Autumn,2023,"Wednesday, 6:00 pm - 9:00 pm","Koijen, Ralph",26.0,39,0.0,27.0,38,0.0,,,,28.0,37,0.0,28.0,37,,27.0,38,0.0
35200-01,35200,01,Corporation Finance,Autumn,2023,"Monday, 08:30 am - 11:30 am","Lyonnet, Victor",33.0,32,0.0,40.0,25,0.0,,,,44.0,21,0.0,46.0,19,0.0,47.0,18,0.0
35200-02,35200,02,Corporation Finance,Autumn,2023,"Monday, 3:00 pm - 6:00 pm","Lyonnet, Victor",37.0,28,0.0,37.0,28,0.0,,,,38.0,27,0.0,40.0,25,0.0,39.0,26,0.0
35200-81,35200,81,Corporation Finance,Autumn,2023,"Tuesday, 6:00 pm - 9:00 pm","Lyonnet, Victor",33.0,32,0.0,32.0,33,0.0,,,,32.0,33,,32.0,33,,44.0,21,0.0
35201-01,35201,01,Cases in Financial Management,Autumn,2023,"Tuesday, 1:30 pm - 4:30 pm","Born, Laura",65.0,CLO,1800.0,65.0,CLO,3906.0,,,,65.0,CLO,,65.0,CLO,,65.0,CLO,4000.0
35201-81,35201,81,Cases in Financial Management,Autumn,2023,"Tuesday, 6:00 pm - 9:00 pm","Born, Laura",40.0,25,0.0,38.0,27,0.0,,,,38.0,27,,38.0,27,,45.0,20,0.0
35210-01,35210,01,International Corporate Finance,Autumn,2023,"Thursday, 01:30 pm - 04:30 pm","Rajan, Raghuram",39.0,26,0.0,39.0,26,0.0,,,,42.0,23,0.0,43.0,22,0.0,42.0,23,0.0
35210-81,35210,81,International Corporate Finance,Autumn,2023,"Thursday, 6:00 pm - 9:00 pm","Rajan, Raghuram",36.0,29,0.0,36.0,29,0.0,,,,36.0,29,,36.0,29,,37.0,28,0.0
35215-01,35215,01,Behavioral and Institutional Finance,Autumn,2023,"Thursday, 01:30 pm - 04:30 pm","Vishny, Robert",29.0,36,0.0,29.0,36,0.0,,,,32.0,33,0.0,36.0,29,0.0,31.0,34,0.0
35215-81,35215,81,Behavioral and Institutional Finance,Autumn,2023,"Thursday, 6:00 pm - 9:00 pm","Vishny, Robert",20.0,45,0.0,22.0,43,0.0,,,,22.0,43,,22.0,43,,23.0,42,0.0
35220-01,35220,01,Corporate Governance and Activism - Board and Director Roles in Critical Decisions,Autumn,2023,"Thursday, 1:30 pm - 4:30 pm","Adrianopoli, Carlin; Hessler, Stephen; Schriesheim, Robert",21.0,44,0.0,28.0,37,0.0,,,,39.0,26,0.0,46.0,19,0.0,47.0,18,0.0
35600-60,35600,60,Seminar: Finance,Autumn,2023,"Tuesday, 01:20 pm - 02:50 pm","Yannelis, Constantine; Zhang, Anthony",6.0,59,0.0,6.0,59,,,,,8.0,57,0.0,8.0,57,,17.0,48,0.0
35601-60,35601,60,Applied Theory Workshop,Autumn,2023,"Tuesday, 03:30 pm - 05:00 pm","Staff, Staff",1.0,64,0.0,1.0,64,,,,,1.0,64,,1.0,64,,1.0,64,
35930-01,35930,01,Research Seminar,Autumn,2023,"Thursday,Tuesday, 02:00 pm - 03:20 pm","Lorenzoni, Guido",,,,,,,,,,0.0,20,,0.0,20,,0.0,20,
35930-50,35930,50,Research Seminar,Autumn,2023,"Monday, 08:45 am - 11:45 am","He, Zhiguo; Nagel, Stefan; Zwick, Eric",6.0,14,0.0,6.0,14,,,,,6.0,14,,6.0,14,,8.0,12,0.0
36106-01,36106,01,Managerial Decision Modeling,Autumn,2023,"Friday, 08:30 am - 11:30 am","Gupta, Varun",11.0,34,0.0,9.0,36,0.0,,,,10.0,35,0.0,12.0,33,0.0,13.0,32,0.0
36106-02,36106,02,Managerial Decision Modeling,Autumn,2023,"Friday, 01:30 pm - 04:30 pm","Gupta, Varun",26.0,19,0.0,40.0,5,0.0,,,,44.0,1,0.0,44.0,1,0.0,41.0,4,0.0
36106-81,36106,81,Managerial Decision Modeling,Autumn,2023,"Friday, 6:00 pm - 9:00 pm","Gupta, Varun",45.0,CLO,1628.0,45.0,CLO,2500.0,,,,45.0,CLO,,45.0,CLO,,45.0,CLO,5000.0
36110-01,36110,01,Application Development,Autumn,2023,"Wednesday, 08:30 am - 11:30 am","Betina, Raghu",16.0,14,0.0,15.0,15,0.0,,,,30.0,CLO,3553.0,30.0,CLO,4111.0,30.0,CLO,10000.0
36110-85,36110,85,Application Development,Autumn,2023,"Saturday, 1:30 pm - 4:30 pm","Betina, Raghu",13.0,17,0.0,13.0,17,,,,,16.0,14,0.0,14.0,16,,19.0,11,0.0
36600-60,36600,60,Workshop in Operations/Management Science,Autumn,2023,"Tuesday, 12:10 pm - 01:10 pm","Niazadeh, Rad; Zhong, Yuan",8.0,57,0.0,8.0,57,,,,,9.0,56,0.0,9.0,56,,11.0,54,0.0
36900-50,36900,50,Linear Programming,Autumn,2023,"Tuesday, 01:30 pm - 04:30 pm","Xin, Linwei",0.0,17,,0.0,17,,,,,4.0,13,0.0,4.0,13,,4.0,13,
36905-50,36905,50,Approximate Dynamic Programming,Autumn,2023,"Wednesday, 08:30 am - 11:30 am","Adelman, Dan",5.0,15,0.0,5.0,15,,,,,5.0,15,,5.0,15,,6.0,14,0.0
36906-50,36906,50,Stochastic Processes,Autumn,2023,"Friday,Wednesday, 04:40 pm - 06:00 pm","Ata, Baris",0.0,20,,0.0,20,,,,,3.0,17,0.0,3.0,17,,3.0,17,
37000-01,37000,01,Marketing Strategy,Autumn,2023,"Wednesday, 08:30 am - 11:30 am","Dietvorst, Berkeley",11.0,54,0.0,8.0,57,,,,,65.0,CLO,387.0,65.0,CLO,2001.0,65.0,CLO,3073.0
37000-02,37000,02,Marketing Strategy,Autumn,2023,"Wednesday, 01:30 pm - 04:30 pm","Dietvorst, Berkeley",13.0,52,0.0,12.0,53,0.0,,,,65.0,CLO,2.0,65.0,CLO,2005.0,63.0,2,0.0
37000-03,37000,03,Marketing Strategy,Autumn,2023,"Thursday, 01:30 pm - 04:30 pm","Dietvorst, Berkeley",13.0,52,0.0,13.0,52,0.0,,,,65.0,CLO,1.0,65.0,CLO,2600.0,65.0,CLO,500.0
37000-04,37000,04,Marketing Strategy,Autumn,2023,"Wednesday, 05:00 pm - 08:00 pm","Shapiro, Bradley",35.0,30,0.0,38.0,27,0.0,,,,65.0,CLO,2703.0,65.0,CLO,1362.0,65.0,CLO,3606.0
37000-81,37000,81,Marketing Strategy,Autumn,2023,"Monday, 6:00 pm - 9:00 pm","Krohn, Christopher",39.0,26,0.0,34.0,31,0.0,,,,60.0,5,0.0,57.0,8,,64.0,1,0.0
37101-81,37101,81,Consumer Behavior,Autumn,2023,"Wednesday, 6:00 pm - 9:00 pm","Bartels, Daniel",33.0,32,0.0,27.0,38,,,,,30.0,35,0.0,30.0,35,,64.0,1,0.0
37105-01,37105,01,Data Science for Marketing Decision Making,Autumn,2023,"Thursday,Tuesday, 8:30 am - 9:50 am","Compiani, Giovanni",6.0,59,0.0,5.0,60,0.0,,,,5.0,60,,5.0,60,,5.0,60,
37105-85,37105,85,Data Science for Marketing Decision Making,Autumn,2023,"Saturday, 9:00 am - 12:00 pm","Compiani, Giovanni",13.0,52,0.0,12.0,53,0.0,,,,12.0,53,,12.0,53,,13.0,52,0.0
37301-81,37301,81,Digital Marketing,Autumn,2023,"Friday, 6:00 pm - 9:00 pm","Mohan, Lil",32.0,33,0.0,31.0,34,0.0,,,,33.0,32,0.0,34.0,31,0.0,31.0,34,0.0
37601-60,37601,60,Marketing Workshop,Autumn,2023,"Tuesday, 10:40 am - 12:00 pm","Shapiro, Bradley; Sussman, Abigail",3.0,62,0.0,3.0,62,,,,,3.0,62,,3.0,62,,10.0,55,0.0
38001-01,38001,01,Managing in Organizations,Autumn,2023,"Monday, 01:30 pm - 04:30 pm","McGill, Ann",,,,,,,,,,,,,,,,,,
38001-02,38001,02,Managing in Organizations,Autumn,2023,"Tuesday, 01:30 pm - 04:30 pm","McGill, Ann",,,,,,,,,,,,,,,,,,
38001-03,38001,03,Managing in Organizations,Autumn,2023,"Tuesday, 6:00 pm - 9:00 pm","McGill, Ann",,,,,,,,,,,,,,,,,,
38002-01,38002,01,Managerial Decision Making,Autumn,2023,"Friday, 8:30 am - 11:30 am","Shah, Anuj",65.0,CLO,1500.0,65.0,CLO,7111.0,,,,65.0,CLO,,65.0,CLO,,65.0,CLO,
38002-02,38002,02,Managerial Decision Making,Autumn,2023,"Friday, 1:30 pm - 4:30 pm","Shah, Anuj",65.0,CLO,5000.0,65.0,CLO,,,,,65.0,CLO,,65.0,CLO,,65.0,CLO,17800.0
38002-81,38002,81,Managerial Decision Making,Autumn,2023,"Friday, 6:00 pm - 9:00 pm","Shah, Anuj",65.0,CLO,2500.0,65.0,CLO,3000.0,,,,65.0,CLO,,65.0,CLO,,65.0,CLO,8000.0
38003-81,38003,81,Power and Influence in Organizations,Autumn,2023,"Friday, 6:00 pm - 9:00 pm","Nussbaum, A.",34.0,31,0.0,31.0,34,0.0,,,,36.0,29,0.0,34.0,31,,31.0,34,0.0
38003-85,38003,85,Power and Influence in Organizations,Autumn,2023,"Saturday, 1:30 pm - 4:30 pm","Nussbaum, A.",33.0,32,0.0,33.0,32,0.0,,,,43.0,22,0.0,41.0,24,,50.0,15,0.0
38101-81,38101,81,Persuasion: Effective Business Communication,Autumn,2023,"Thursday, 6:00 pm - 9:00 pm","Weitzman, Hal",36.0,CLO,6123.0,36.0,CLO,10078.0,,,,36.0,CLO,,36.0,CLO,,36.0,CLO,
38103-01,38103,01,Strategies and Processes of Negotiation,Autumn,2023,"Wednesday, 08:30 am - 11:30 am","Dean, Joshua",55.0,CLO,2112.0,55.0,CLO,3032.0,,,,55.0,CLO,,55.0,CLO,,55.0,CLO,
38103-02,38103,02,Strategies and Processes of Negotiation,Autumn,2023,"Wednesday, 01:30 pm - 04:30 pm","Dean, Joshua",55.0,CLO,2819.0,55.0,CLO,6000.0,,,,55.0,CLO,,55.0,CLO,,55.0,CLO,6000.0
38103-81,38103,81,Strategies and Processes of Negotiation,Autumn,2023,"Wednesday, 6:00 pm - 9:00 pm","Dean, Joshua",40.0,15,0.0,40.0,15,0.0,,,,43.0,12,0.0,40.0,15,,53.0,2,0.0
38103-85,38103,85,Strategies and Processes of Negotiation,Autumn,2023,"Saturday, 9:00 am - 12:00 pm","Burrows, John",17.0,38,0.0,16.0,39,0.0,,,,19.0,36,0.0,17.0,38,,15.0,40,0.0
38126-01,38126,01,Culture (And Why It Matters),Autumn,2023,"Wednesday, 01:30 pm - 04:30 pm","Talhelm, Thomas",36.0,29,0.0,38.0,27,0.0,,,,58.0,7,0.0,63.0,2,0.0,59.0,6,0.0
38126-85,38126,85,Culture (And Why It Matters),Autumn,2023,"Saturday, 9:00 am - 12:00 pm","Talhelm, Thomas",23.0,42,0.0,28.0,37,0.0,,,,33.0,32,0.0,32.0,33,,27.0,38,0.0
38601-60,38601,60,Workshop in Behavioral Science,Autumn,2023,"Monday, 10:10 am - 11:30 am","Levine, Emma; Talhelm, Thomas",4.0,61,0.0,4.0,61,,,,,8.0,57,0.0,8.0,57,,11.0,54,0.0
38901-50,38901,50,Current Topics in Behavioral Science I,Autumn,2023,"Wednesday, 01:30 pm - 04:30 pm","McGill, Ann; Todorov, Alexander",4.0,16,0.0,4.0,16,,,,,8.0,12,0.0,8.0,12,,6.0,14,
38916-50,38916,50,Behavioral Economics - Development & Observational Data,Autumn,2023,"Tuesday, 01:30 pm - 04:30 pm","Dean, Joshua; Pope, Devin",2.0,33,0.0,2.0,33,,,,,6.0,29,0.0,6.0,29,,6.0,29,
39101-01,39101,01,Technology Strategy,Autumn,2023,"Monday, 08:30 am - 11:30 am","Knez, Marc",57.0,8,0.0,65.0,CLO,523.0,,,,65.0,CLO,,65.0,CLO,,65.0,CLO,1200.0
39101-81,39101,81,Technology Strategy,Autumn,2023,"Monday, 6:00 pm - 9:00 pm","Knez, Marc",55.0,10,0.0,58.0,7,0.0,,,,60.0,5,0.0,60.0,5,,63.0,2,0.0
40000-01,40000,01,Operations Management: Business Process Fundamentals,Autumn,2023,"Friday, 8:30 am - 11:30 am","Caldentey, Rene",29.0,36,0.0,33.0,32,0.0,,,,56.0,9,0.0,54.0,11,0.0,48.0,17,0.0
40000-81,40000,81,Operations Management: Business Process Fundamentals,Autumn,2023,"Thursday, 6:00 pm - 9:00 pm","Caldentey, Rene",32.0,33,0.0,34.0,31,0.0,,,,36.0,29,0.0,36.0,29,,40.0,25,0.0
40101-01,40101,01,Supply Chain Strategy and Practice,Autumn,2023,"Monday, 01:30 pm - 04:30 pm","DeHoratius, Nicole",65.0,CLO,2430.0,65.0,CLO,7520.0,,,,65.0,CLO,,65.0,CLO,,65.0,CLO,10000.0
40101-81,40101,81,Supply Chain Strategy and Practice,Autumn,2023,"Monday, 6:00 pm - 9:00 pm","DeHoratius, Nicole",45.0,20,0.0,45.0,20,0.0,,,,48.0,17,0.0,48.0,17,,65.0,CLO,354.0
41000-01,41000,01,Business Statistics,Autumn,2023,"Tuesday, 01:30 pm - 04:30 pm","Kaji, Tetsuya",10.0,60,0.0,12.0,58,0.0,,,,70.0,CLO,2316.0,70.0,CLO,4501.0,70.0,CLO,
41000-02,41000,02,Business Statistics,Autumn,2023,"Tuesday, 05:00 pm - 08:00 pm","Kaji, Tetsuya",7.0,63,0.0,7.0,63,,,,,70.0,CLO,0.0,70.0,CLO,3010.0,69.0,1,1750.0
41000-03,41000,03,Business Statistics,Autumn,2023,"Wednesday, 08:30 am - 11:30 am","Polson, Nicholas",13.0,52,0.0,14.0,51,0.0,,,,65.0,CLO,2003.0,65.0,CLO,,65.0,CLO,5000.0
41000-81,41000,81,Business Statistics,Autumn,2023,"Wednesday, 6:00 pm - 9:00 pm","Carvalho, Carlos",27.0,38,0.0,28.0,37,0.0,,,,42.0,23,0.0,39.0,26,0.0,65.0,CLO,1000.0
41000-85,41000,85,Business Statistics,Autumn,2023,"Saturday, 9:00 am - 12:00 pm","Polson, Nicholas",5.0,60,0.0,2.0,63,,,,,9.0,56,0.0,8.0,57,0.0,28.0,37,0.0
41100-01,41100,01,Applied Regression Analysis,Autumn,2023,"Wednesday, 1:30 pm - 4:30 pm","Toulis (Panos), Panagiotis",15.0,50,0.0,14.0,51,0.0,,,,65.0,CLO,1677.0,65.0,CLO,3512.0,65.0,CLO,7653.0
41100-02,41100,02,Applied Regression Analysis,Autumn,2023,"Wednesday, 6:00 pm - 9:00 pm","Toulis (Panos), Panagiotis",4.0,61,0.0,4.0,61,,,,,57.0,8,0.0,65.0,CLO,0.0,65.0,CLO,0.0
41100-85,41100,85,Applied Regression Analysis,Autumn,2023,"Saturday, 1:30 pm - 4:30 pm","Toulis (Panos), Panagiotis",10.0,55,0.0,12.0,53,0.0,,,,18.0,47,0.0,17.0,48,,23.0,42,0.0
41305-01,41305,01,Statistical Insight into Entrepreneurial Quantitative Consulting with Wide Business Applications,Autumn,2023,"Monday, 01:30 pm - 04:30 pm","Gilula, Zvi",16.0,19,0.0,20.0,15,0.0,,,,31.0,4,0.0,34.0,1,0.0,32.0,3,0.0
41600-60,41600,60,Econometrics and Statistics Colloquium,Autumn,2023,"Thursday, 01:20 pm - 02:30 pm","Aragam, Bryon; Kaji, Tetsuya",5.0,30,0.0,5.0,30,,,,,7.0,28,0.0,7.0,28,,10.0,25,0.0
41901-50,41901,50,Probability and Statistics,Autumn,2023,"Friday, 01:30 pm - 04:30 pm","Kaji, Tetsuya",8.0,57,0.0,8.0,57,0.0,,,,17.0,48,0.0,19.0,46,0.0,19.0,46,0.0
41916-50,41916,50,"Bayes, AI and Deep Learning ",Autumn,2023,"Thursday, 08:30 am - 11:30 am","Polson, Nicholas",10.0,25,0.0,12.0,23,0.0,,,,16.0,19,0.0,15.0,20,,14.0,21,0.0
41917-50,41917,50,Causal Machine Learning,Autumn,2023,"Monday, 1:30 pm - 4:30 pm","Farrell, Max; Misra, Sanjog",5.0,60,0.0,4.0,61,,,,,8.0,57,0.0,8.0,57,,12.0,53,0.0
42001-01,42001,01,Competitive Strategy,Autumn,2023,"Thursday, 01:30 pm - 04:30 pm","Wollmann, Thomas",46.0,21,0.0,52.0,15,0.0,,,,67.0,CLO,3973.0,67.0,CLO,,67.0,CLO,2000.0
42001-02,42001,02,Competitive Strategy,Autumn,2023,"Friday, 08:30 am - 11:30 am","Wollmann, Thomas",19.0,46,0.0,20.0,45,0.0,,,,65.0,CLO,0.0,65.0,CLO,4394.0,65.0,CLO,3980.0
42001-03,42001,03,Competitive Strategy,Autumn,2023,"Thursday,Tuesday, 05:00 pm - 06:20 pm","Fitzgerald, Kathleen",6.0,59,0.0,7.0,58,0.0,,,,20.0,45,0.0,23.0,42,0.0,20.0,45,0.0
42001-04,42001,04,Competitive Strategy,Autumn,2023,"Tuesday, 01:30 pm - 04:30 pm","Leshno, Jacob",14.0,51,0.0,16.0,49,0.0,,,,51.0,14,0.0,65.0,CLO,2003.0,62.0,3,0.0
42001-05,42001,05,Competitive Strategy,Autumn,2023,"Wednesday, 01:30 pm - 04:30 pm","Leshno, Jacob",19.0,46,0.0,20.0,45,0.0,,,,57.0,8,0.0,65.0,CLO,1069.0,65.0,CLO,100.0
42001-81,42001,81,Competitive Strategy,Autumn,2023,"Thursday, 6:00 pm - 9:00 pm","Wollmann, Thomas",65.0,CLO,1200.0,65.0,CLO,3333.0,,,,65.0,CLO,,65.0,CLO,,65.0,CLO,5892.0
42001-82,42001,82,Competitive Strategy,Autumn,2023,"Tuesday, 6:00 pm - 9:00 pm","Leshno, Jacob",17.0,48,0.0,18.0,47,0.0,,,,18.0,47,,18.0,47,,52.0,13,0.0
42001-85,42001,85,Competitive Strategy,Autumn,2023,"Saturday, 9:00 am - 12:00 pm","Fitzgerald, Kathleen",65.0,CLO,1002.0,65.0,CLO,1000.0,,,,65.0,CLO,,65.0,CLO,,54.0,11,0.0
42121-81,42121,81,Merger & Acquisition Strategy,Autumn,2023,"Wednesday, 6:00 pm - 9:00 pm","Morrissette, Stephen",70.0,CLO,18798.0,70.0,CLO,22000.0,,,,70.0,CLO,,70.0,CLO,,70.0,CLO,22580.0
42125-01,42125,01,Social Sector Strategy and Structure,Autumn,2023,"Monday, 01:30 pm - 04:30 pm","Hachikian, Christina",11.0,54,0.0,11.0,54,,,,,36.0,29,0.0,45.0,20,0.0,46.0,19,0.0
42125-81,42125,81,Social Sector Strategy and Structure,Autumn,2023,"Monday, 6:00 pm - 9:00 pm","Hachikian, Christina",6.0,59,0.0,7.0,58,0.0,,,,9.0,56,0.0,10.0,55,0.0,11.0,54,0.0
42126-01,42126,01,Arts Leadership: Exemplary is Not Enough,Autumn,2023,"Thursday, 01:30 pm - 04:30 pm","Ittelson, Mary",21.0,19,0.0,26.0,14,0.0,,,,37.0,3,0.0,40.0,CLO,57.0,40.0,CLO,100.0
42127-85,42127,85,"Pivot for Success – Hone the Vision, Shift the Strategy, Make the Right Moves in Today’s Marketplace",Autumn,2023,"Saturday, 9:00 am - 12:00 pm","Hilliard, Amy",9.0,56,0.0,8.0,57,,,,,9.0,56,0.0,9.0,56,,10.0,55,0.0
42201-81,42201,81,The Legal Infrastructure of Business,Autumn,2023,"Wednesday, 6:00 pm - 9:00 pm","Picker, Randal",70.0,CLO,1219.0,70.0,CLO,3000.0,,,,70.0,CLO,,70.0,CLO,,70.0,CLO,3333.0
42201-85,42201,85,The Legal Infrastructure of Business,Autumn,2023,"Saturday, 1:30 pm - 4:30 pm","Picker, Randal",53.0,12,0.0,55.0,10,0.0,,,,65.0,CLO,0.0,64.0,1,0.0,61.0,4,0.0
42300-81,42300,81,Global Health and Social Policy,Autumn,2023,"Wednesday, 6:00 pm - 9:00 pm","Olopade, Christopher; Olopade, Olufunmilayo",12.0,53,0.0,11.0,54,0.0,,,,13.0,52,0.0,14.0,51,0.0,15.0,50,0.0
30000-81,30000,81,Financial Accounting,Summer,2023,"Thursday, 6:00 pm - 9:00 pm","Rauter, Thomas",12.0,53,0.0,17.0,48,0.0,,,,30.0,35,0.0,27.0,38,,28.0,37,0.0
30000-85,30000,85,Financial Accounting,Summer,2023,"Saturday, 1:30 pm - 4:30 pm","Rauter, Thomas",30.0,35,0.0,30.0,35,0.0,,,,41.0,24,0.0,41.0,24,,44.0,21,0.0
30001-81,30001,81,Cost Analysis and Internal Controls,Summer,2023,"Thursday, 6:00 pm - 9:00 pm","Hanna, J.",42.0,23,0.0,46.0,19,0.0,,,,48.0,17,0.0,47.0,18,,57.0,8,0.0
30001-85,30001,85,Cost Analysis and Internal Controls,Summer,2023,"Saturday, 9:00 am - 12:00 pm","Hanna, J.",33.0,32,0.0,33.0,32,0.0,,,,33.0,32,,33.0,32,,32.0,33,0.0
30830-88,30830,88,Financial Statement Analysis,Summer,2023,"EMBA Electives Week 1, 9:00 am - 12:00 pm","Minnis, Michael",29.0,36,500.0,30.0,35,0.0,,,,,,,,,,47.0,18,0.0
30835-88,30835,88,Accounting for Entrepreneurship: From Start-Up through IPO,Summer,2023,"EMBA Electives Week 1, 2:00 pm - 5:00 pm","Berger, Philip",34.0,31,1119.0,37.0,28,3000.0,,,,,,,,,,53.0,12,
32120-81,32120,81,Data Analysis with Python and SQL,Summer,2023,"Tuesday, 6:00 pm - 9:00 pm","Kattan, Lara",25.0,10,0.0,23.0,12,0.0,,,,29.0,6,0.0,28.0,7,,35.0,CLO,1.0
33001-81,33001,81,Microeconomics,Summer,2023,"Wednesday, 6:00 pm - 9:00 pm","Shivakumar, Ram",50.0,15,0.0,54.0,11,0.0,,,,65.0,CLO,2000.0,65.0,CLO,,65.0,CLO,7000.0
33001-85,33001,85,Microeconomics,Summer,2023,"Saturday, 9:00 am - 12:00 pm","Shivakumar, Ram",22.0,43,0.0,25.0,40,0.0,,,,34.0,31,0.0,34.0,31,,37.0,28,0.0
33032-81,33032,81,Managing the Workplace,Summer,2023,"Monday, 6:00 pm - 9:00 pm","Prendergast, Canice",70.0,CLO,260.0,70.0,CLO,4256.0,,,,70.0,CLO,,70.0,CLO,,70.0,CLO,5151.0
33882-88,33882,88,"Money, Banking, and the Financial Crisis",Summer,2023,"EMBA Electives Week 1, 2:00 pm - 5:00 pm","Kroszner, Randall",44.0,21,0.0,46.0,19,2999.0,,,,,,,,,,60.0,5,7643.0
34101-81,34101,81,Entrepreneurial Finance and Private Equity,Summer,2023,"Wednesday, 6:00 pm - 9:00 pm","Meadow, Scott",61.0,4,0.0,65.0,CLO,19000.0,,,,65.0,CLO,,65.0,CLO,,65.0,CLO,12896.0
34102-81,34102,81,New Venture Strategy,Summer,2023,"Thursday, 6:00 pm - 9:00 pm","Schrager, James",60.0,5,0.0,65.0,CLO,8001.0,,,,65.0,CLO,,65.0,CLO,,65.0,CLO,7291.0
34102-82,34102,82,New Venture Strategy,Summer,2023,"Wednesday, 6:00 pm - 9:00 pm","Muth, Karl",12.0,53,0.0,18.0,47,0.0,,,,18.0,47,,18.0,47,,19.0,46,0.0
34816-88,34816,88,Innovation Strategy and Management,Summer,2023,"EMBA Electives Week 1, 9:00 am - 12:00 pm","Wolcott, Robert",59.0,6,1000.0,60.0,5,1116.0,,,,,,,,,,57.0,8,
34880-88,34880,88,Impact Investing,Summer,2023,"EMBA Electives Week 1, 9:00 am - 12:00 pm","Parrish, Priya",15.0,50,0.0,17.0,48,500.0,,,,,,,,,,21.0,44,
34882-88,34882,88,New Venture Strategy,Summer,2023,"EMBA Electives Week 2, 2:00 pm - 5:00 pm","Knez, Marc",33.0,32,0.0,30.0,35,,,,,,,,,,,39.0,26,0.0
34887-88,34887,88,Entrepreneurial Selling,Summer,2023,"EMBA Electives Week 1, 2:00 pm - 5:00 pm","Alter, Michael",,,,,,,,,,,,,,,,,,
35000-81,35000,81,Investments,Summer,2023,"Friday, 6:00 pm - 9:00 pm","Pierce, Joshua",45.0,20,0.0,44.0,21,0.0,,,,45.0,20,0.0,45.0,20,,43.0,22,0.0
35000-85,35000,85,Investments,Summer,2023,"Saturday, 9:00 am - 12:00 pm","Pierce, Joshua",26.0,39,0.0,28.0,37,0.0,,,,28.0,37,,28.0,37,,32.0,33,0.0
35200-81,35200,81,Corporation Finance,Summer,2023,"Friday, 6:00 pm - 9:00 pm","Vermaelen, Theo",36.0,29,0.0,34.0,31,,,,,34.0,31,,34.0,31,,35.0,30,0.0
35200-85,35200,85,Corporation Finance,Summer,2023,"Saturday, 1:30 pm - 4:30 pm","Vermaelen, Theo",11.0,54,0.0,13.0,52,0.0,,,,13.0,52,,13.0,52,,11.0,54,0.0
35823-88,35823,88,The Fintech Revolution,Summer,2023,"EMBA Electives Week 2, 9:00 am - 12:00 pm","Zingales, Luigi",31.0,34,2000.0,24.0,41,0.0,,,,,,,,,,33.0,32,0.0
